,period,value,time,start_at
2021,7,0.57643310,1712520000.0,2024-04-07 20:00:00+00:00
2022,7,0.57800773,1712523600.0,2024-04-07 21:00:00+00:00
2023,7,0.57788890,1712527200.0,2024-04-07 22:00:00+00:00
2024,7,0.57900246,1712530800.0,2024-04-07 23:00:00+00:00
2025,7,0.58236073,1712534400.0,2024-04-08 00:00:00+00:00
2026,7,0.58374211,1712538000.0,2024-04-08 01:00:00+00:00
2027,7,0.58370277,1712541600.0,2024-04-08 02:00:00+00:00
2028,7,0.58369803,1712545200.0,2024-04-08 03:00:00+00:00
2029,7,0.58342250,1712548800.0,2024-04-08 04:00:00+00:00
2030,7,0.55562150,1712552400.0,2024-04-08 05:00:00+00:00
2031,7,0.55213359,1712556000.0,2024-04-08 06:00:00+00:00
2032,7,0.55207377,1712559600.0,2024-04-08 07:00:00+00:00
2033,7,0.55908383,1712563200.0,2024-04-08 08:00:00+00:00
2034,7,0.61460272,1712566800.0,2024-04-08 09:00:00+00:00
2035,7,0.61594437,1712570400.0,2024-04-08 10:00:00+00:00
2036,7,0.61567633,1712574000.0,2024-04-08 11:00:00+00:00
2037,7,0.61509962,1712577600.0,2024-04-08 12:00:00+00:00
2038,7,0.61540297,1712581200.0,2024-04-08 13:00:00+00:00
2039,7,0.60837269,1712584800.0,2024-04-08 14:00:00+00:00
2040,7,0.59374445,1712588400.0,2024-04-08 15:00:00+00:00
2041,7,0.59473282,1712592000.0,2024-04-08 16:00:00+00:00
2042,7,0.59743496,1712595600.0,2024-04-08 17:00:00+00:00
2043,7,0.59766766,1712599200.0,2024-04-08 18:00:00+00:00
2044,7,0.59368526,1712602800.0,2024-04-08 19:00:00+00:00
2045,7,0.59365027,1712606400.0,2024-04-08 20:00:00+00:00
2046,7,0.59430791,1712610000.0,2024-04-08 21:00:00+00:00
2047,7,0.59401113,1712613600.0,2024-04-08 22:00:00+00:00
2048,7,0.59765762,1712617200.0,2024-04-08 23:00:00+00:00
2049,7,0.59892371,1712620800.0,2024-04-09 00:00:00+00:00
2050,7,0.59885265,1712624400.0,2024-04-09 01:00:00+00:00
2051,7,0.53831668,1712628000.0,2024-04-09 02:00:00+00:00
2052,7,0.54029239,1712631600.0,2024-04-09 03:00:00+00:00
2053,7,0.54106818,1712635200.0,2024-04-09 04:00:00+00:00
2054,7,0.54103212,1712638800.0,2024-04-09 05:00:00+00:00
2055,7,0.54059316,1712642400.0,2024-04-09 06:00:00+00:00
2056,7,0.54779871,1712646000.0,2024-04-09 07:00:00+00:00
2057,7,0.54412798,1712649600.0,2024-04-09 08:00:00+00:00
2058,7,0.54469045,1712653200.0,2024-04-09 09:00:00+00:00
2059,7,0.54300436,1712656800.0,2024-04-09 10:00:00+00:00
