start_at,open,high,low,close,volume,turnover,date,wclprice,rsi,upper1,lower1,middle,upper2,lower2,upper3,lower3,bbvi,macd,macdsignal,macdhist,p_di,m_di,adx,adxr,volume_ma,volume_ma_diff,middle_diff,band_diff,di_diff,sma,ema,upper_diff,lower_diff,ema_diff,sma_diff,rsi_sell,ema_sma,sma_ema,ema_sma_500,sma_ema_500,rsi_buy,dmi_diff,macd_diff,bol_diff,aroon,adline,mfi,roc,atr,pandl,state,bb_direction,entry_price,exit_price,current_profit,bb_profit,prediction,profit_ma,entry_type,max_pandl,min_pandl,exit_reason,exit_time,pred_v1,pred_v2,pred_v3,pred_v4,pred_v5,pred_v6,pred_v7,pred_v8,pred_v9,pred_v10,pred_v11,pred_v12,pred_v13,pred_v14,pred_v15,pred_v16,pred_v17,pred_v18,pred_target,order_id
2024-09-03 00:00:00,59116.7,59805.0,55501.0,56150.5,416713.227,23863050897.7862,2024-09-03 00:00:00,56901.75,41.7,64388.2,57142.21,60765.21,68011.19,53519.22,71634.19,49896.23,23.84,-1285.69,-986.87,-298.82,14.22,25.4,22.93,20.02,424836.5932857143,2762.49,3863.459999999999,-547.24,-2.03,59467.59,58498.32,11109.440000000002,-3382.529999999999,1596.5699999999997,2565.8399999999965,-28.299999999999997,-969.2699999999968,969.2699999999968,0.0,969.2699999999968,11.700000000000003,-11.179999999999998,-298.82000000000005,14491.970000000001,-14.28,8899402.09,38.12,-13.33,4840.78,-85.54,PositionState,upper,59366.7,55804.698,0.0,0.0,0,0.0,None,8.796097509209822,-92.70188031337425,losscut,None,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,None
2024-09-06 00:00:00,56150.5,56997.6,52500.2,54850.0,402031.05000000005,21978110485.5934,2024-09-06 00:00:00,54799.45,38.59,63991.5,56402.58,60197.04,67785.96,52608.12,71580.42,48813.66,25.21,-1597.45,-1108.98,-488.46,13.27,28.16,23.85,19.88,429762.93407142855,4926.34,5397.590000000004,143.48,-4.67,58943.44,57018.77,12986.51000000001,-2191.3299999999945,2219.3199999999997,4143.990000000005,-31.409999999999997,-1924.6700000000055,1924.6700000000055,0.0,1924.6700000000055,8.590000000000003,-14.89,-488.47,15177.840000000004,-14.28,8917477.13,31.84,-19.28,4816.25,0.0,IdleState,upper,54850.0,57592.5,0.0,-51.100000000000115,0,0.0,SHORT,4.181677301731861,-61.26773017319963,losscut,2024-09-09 00:00:00,0.014112001284956932,0.014112001284956932,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,None
2024-09-09 00:00:00,54850.0,58150.2,54560.3,57310.4,456971.17000000004,25842782433.815804,2024-09-09 00:00:00,56832.82,43.01,63750.78,56002.5,59876.64,67624.92,52128.36,71499.05,48254.22,25.88,-1661.29,-1219.44,-441.84,14.29,26.63,24.3,20.12,433724.9519285714,3962.01,3043.8199999999997,93.48,1.59,58785.02,56944.39,10792.099999999999,-4704.459999999999,111.56999999999971,1952.199999999997,-26.990000000000002,-1840.6299999999974,1840.6299999999974,0.0,1840.6299999999974,13.009999999999998,-12.34,-441.8499999999999,15496.559999999998,-14.28,9160646.03,39.2,-13.84,4728.65,-51.100000000000115,PositionState,upper,54850.0,57592.5,0.0,0.0,0,0.0,None,4.181677301731861,-61.26773017319963,losscut,None,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,None
2024-09-12 00:00:00,57310.4,60624.2,57298.5,59968.0,312041.98,18318888688.4757,2024-09-12 00:00:00,59464.67,48.21,63676.23,55998.57,59837.4,67515.05,52159.75,71353.88,48320.92,25.66,-1482.43,-1272.04,-210.38,17.37,25.26,23.89,20.8,420045.9142142857,-13679.03,372.7300000000032,-302.3,5.46,58887.4,57952.5,8050.380000000005,-7304.919999999998,-1512.1699999999983,-577.2699999999968,-21.79,-934.9000000000015,934.9000000000015,0.0,934.9000000000015,18.21,-7.890000000000001,-210.3900000000001,15355.300000000003,-7.14,9349548.85,46.05,-3.63,4628.44,0.0,IdleState,upper,59968.0,65145.8,0.0,127.86407417289237,1,0.0,LONG,145.47846851654216,-56.01577908217717,normal,2024-09-24 00:00:00,0.9786974787712097,0.9786974787712097,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,None
2024-09-15 00:00:00,59968.0,61330.0,57450.0,60275.1,350201.49,20751053744.9627,2024-09-15 00:00:00,59832.55,48.91,63492.0,56181.88,59836.94,67147.06,52526.82,70802.12,48871.76,24.43,-1296.06,-1276.84,-19.21,17.42,23.73,23.28,21.08,378517.944,-41527.97,4.389999999999418,-844.93,4.66,58817.98,58704.52,7314.509999999995,-7305.730000000003,-1128.030000000006,-1014.5699999999997,-21.090000000000003,-113.4600000000064,113.4600000000064,0.0,0.0,18.909999999999997,-6.309999999999999,-19.220000000000027,14620.239999999998,42.85,9509323.77,57.28,7.81,4574.98,2.8676593883997623,PositionState,upper,59968.0,65145.8,0.0,0.0,0,0.0,None,28.095747065101314,-56.01577908217717,None,None,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,None
2024-09-18 00:00:00,60275.1,64131.7,59126.2,63173.8,440439.285,27256107494.9066,2024-09-18 00:00:00,62401.37,53.63,63422.8,56739.54,60081.17,66764.44,53397.9,70106.07,50056.27,22.24,-930.35,-1207.55,277.19,20.42,21.89,21.86,20.92,371637.50985714287,-6880.43,-2320.2000000000044,-1621.69,4.89,58725.73,60183.26,4363.07,-9003.470000000001,-2218.1100000000006,-3675.6399999999994,-16.369999999999997,1457.5299999999988,-1457.5299999999988,1457.5299999999988,0.0,23.630000000000003,-1.4699999999999989,277.19999999999993,13366.54,-35.71,9781189.77,56.66,4.48,4605.73,37.65205938839977,PositionState,upper,59968.0,65145.8,0.0,0.0,0,0.0,None,102.498045624333,-22.706229989327674,None,None,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,None
2024-09-21 00:00:00,63173.8,64774.2,62350.0,63305.9,231715.362,14673133053.626299,2024-09-21 00:00:00,63434.0,55.42,63593.97,57207.01,60400.49,66787.45,54013.53,69980.93,50820.05,21.14,-550.85,-1076.21,525.35,20.65,21.04,20.37,20.79,363312.2857857143,-8325.22,-3033.510000000002,-975.23,4.07,59062.97,61483.55,3353.449999999997,-9420.470000000001,-1950.449999999997,-4371.029999999999,-14.579999999999998,2420.5800000000017,-2420.5800000000017,2420.5800000000017,0.0,25.42,-0.39000000000000057,525.36,12773.919999999998,-35.71,9732212.4,55.79,6.58,4449.91,39.23725938839976,PositionState,upper,59968.0,65145.8,0.0,0.0,0,0.0,None,118.5691168623267,57.93177694770552,None,None,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,None
2024-09-24 00:00:00,63305.9,65850.0,62634.0,65145.8,362819.826,23221086305.4097,2024-09-24 00:00:00,64693.9,57.56,63673.39,57945.37,60809.38,66537.41,55081.36,69401.42,52217.35,18.83,-146.73,-890.31,743.57,21.33,19.93,19.15,20.76,355746.84885714285,-7565.43,-3884.520000000004,-1294.86,2.01,59667.4,62767.69,1843.510000000002,-9612.54,-1926.2099999999991,-5026.5,-12.439999999999998,3100.290000000001,-3100.290000000001,3100.290000000001,0.0,27.560000000000002,1.3999999999999986,743.5799999999999,11456.050000000003,42.85,9936140.6,64.41,11.04,4361.77,127.86407417289237,PositionState,upper,59968.0,65145.8,0.0,0.0,0,0.0,None,145.47846851654216,65.03556563500533,normal,None,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,None
2024-09-27 00:00:00,65145.8,66520.0,64789.0,65571.7,194552.22,12787151378.813,2024-09-27 00:00:00,65613.1,59.11,64094.62,58439.14,61266.88,66922.35,55611.41,69750.09,52783.67,18.46,244.87,-663.27,908.15,21.84,19.34,18.22,20.57,351991.71635714284,-3755.13,-4346.220000000008,-395.14,1.78,60441.51,63905.85,1309.25,-10001.690000000002,-1707.2500000000073,-5171.590000000004,-10.89,3464.3399999999965,-3464.3399999999965,3464.3399999999965,0.0,29.11,2.5,908.14,11310.940000000002,50.0,9917528.33,64.21,12.07,4173.86,0.0,IdleState,upper,65571.7,61637.398,0.0,-91.65,1,0.0,LONG,-0.8928135918389672,-130.1841084644747,losscut,2024-09-30 00:00:00,0.988849401473999,0.988849401473999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,None
2024-09-30 00:00:00,65571.7,65604.8,59952.9,60617.5,583435.76,36381017476.2008,2024-09-30 00:00:00,61698.17,50.64,64135.48,58480.43,61307.95,66963.0,55652.91,69790.53,52825.38,18.44,236.59,-483.3,719.9,19.78,25.58,17.83,20.15,364139.92278571427,12148.2,-390.22000000000116,384.08,-7.78,60974.44,63022.78,5264.830000000002,-6045.259999999995,1324.6100000000006,-723.7299999999959,-19.36,2048.3399999999965,-2048.3399999999965,2048.3399999999965,0.0,20.64,-5.799999999999997,719.89,11310.089999999997,50.0,9471303.56,53.73,2.05,4279.43,-91.65,PositionState,upper,65571.7,61637.398,0.0,0.0,0,0.0,None,-0.8928135918389672,-130.1841084644747,losscut,None,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,None
2024-10-03 00:00:00,60617.5,62469.0,59840.2,62035.0,324069.485,19811732161.566196,2024-10-03 00:00:00,61594.8,50.44,63988.38,58682.16,61335.27,66641.5,56029.05,69294.61,53375.94,17.3,219.17,-342.8,561.98,18.89,24.62,17.5,19.95,362989.54135714285,-1150.38,-259.5300000000061,-656.99,-1.99,61729.48,62451.58,5046.699999999997,-5565.75,856.7799999999988,134.6800000000003,-19.560000000000002,722.0999999999985,-722.0999999999985,722.0999999999985,0.0,20.439999999999998,-5.73,561.97,10612.449999999997,50.0,9688368.97,46.99,-2.58,4161.53,0.0,IdleState,upper,62035.0,65757.1,0.0,-85.54000000000023,0,0.0,SHORT,74.15398162327719,-120.36002095591202,losscut,2024-10-12 00:00:00,0.015646101906895638,0.015646101906895638,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,None
